11.11 SUPER SALE,11.11 SUPER SALE,n,n,n,n,Buy at least 2 standard 2D movie tickets at full price (for the same movie session) and get 1 more ticket for that movie session free!,https://media.gv.com.sg/imagesresize/promo_gv1111.jpg
PayLah! Mondays: $2.50 off online tickets every Monday in November!,PayLah! Mondays: $2.50 off online tickets every Monday in November!,n,n,n,n,Get $2.50 off each online ticket every Monday in November!,https://media.gv.com.sg/imagesresize/promo_paylah2502.jpg
GV Members’ Festive Rewards,n,n,n,GV Members’ Festive Rewards,n,For minimum $100 spent during this period. members will receive one movie ticket (Complimentary Pass) that will be sent to you within a month after the campaign has ended.,https://media.gv.com.sg/imagesresize/promo_gvfestiverewards.jpg
Abominable Instagram Contest,n,n,n,Abominable Instagram Contest,n,Head over to our Instagram Page within the contest period to win these limited edition premiums now! double your chances when you purchase a pair of tickets to the movie Abominable.,https://media.gv.com.sg/imagesresize/promo_abominableig.jpg
Abominable In-Cinema Giveaway,n,Abominable In-Cinema Giveaway,n,n,n,Purchase tickets to Abominable to redeem these movie premiums,https://media.gv.com.sg/imagesresize/promo_abominablegiveaway.jpg
The Show Book,n,n,n,n,n,Time to prepare for the new year! Pen down your resolutions & don’t miss the upcoming blockbusters in 2020!  ,https://media.gv.com.sg/imagesresize/promo_theshowbook.jpg
iGV - Dolby Atmos Offer,iGV - Dolby Atmos Offer,n,n,n,n,Enjoy $1.50 off GVmax Dolby Atmos tickets when you book via iGV app!,https://media.gv.com.sg/imagesresize/promo_igvatmos2.jpg
NEW! GV Gift Voucher,n,n,n,n,n,Check out our new affordable gift voucher at $10. This ideal gift option allows your movie-loving friends or loved ones the flexibility to grab a movie ticket of their choice or popcorn to go with it!,https://media.gv.com.sg/imagesresize/Gift-Voucher_banner_348x528.jpg
GVmax Dolby Atmos Family Package,GVmax Dolby Atmos Family Package,n,n,n,n,Family outing can be merrier with Gvmax. Dolby Atmos Family Package at GV VivoCity! Enjoy up to $2 discount per ticket! Purchase min. 4 tickets to qualify!,https://media.gv.com.sg/imagesresize/promo_dolbyatmosfamily.jpg
Stephen King’s Doctor Sleep Instagram Contest,n,n,n,Stephen King’s Doctor Sleep Instagram Contest,n,Head over to our Instagram Page within the contest period to win these limited edition premiums now! double your chances when you purchase a pair of tickets to the movie Stephen King’s Doctor Sleep.,https://media.gv.com.sg/imagesresize/promo_doctorsleepig.jpg
GV Exclusive Collectible Hello Kitty 45th Anniversary ez-link cards,n,n,n,n,n,Collect this Exclusive Collectible Hello Kitty 45th Anniversary ez-link cards.,https://media.gv.com.sg/imagesresize/mechan_hellokittyezylink.jpg
The More The Merrier (Mon - Thurs) @ GV Tiong Bahru Bishan Plaza Bedok & Katong,The More The Merrier (Mon - Thurs) @ GV Tiong Bahru. Bishan. Plaza. Bedok & Katong,n,n,n,n,Come in groups & save up to $3 per movie ticket on weekdays (Mon – Thurs)!,https://media.gv.com.sg/imagesresize/promo_themore19.jpg
Student Offer,Student Offer,n,n,n,n,Flash your student card to enjoy this offer for movie sessions before 6 pm on Mon - Fri.,https://media.gv.com.sg/imagesresize/studentoffers_18.jpg
Senior Citizens Concession Rate,Senior Citizens Concession Rate,n,n,n,n,Senior citizens enjoy a concession rate of just $5 per movie ticket all year round! Watch more movies at one of many conveniently located GV cinemas.,https://media.gv.com.sg/imagesresize/promo_senior18.jpg
